Compound,RF,NN
CMP559,9.258502276,8.564454027
CMP560,9.350032857,10.73408844
CMP561,8.463435029,6.720478257
CMP562,8.880399869,10.09208687
CMP563,7.858109052,6.611840492
CMP564,7.816333262,9.622189571
CMP565,8.875247447,10.93763161
CMP566,8.492570025,8.121382056
CMP567,5.70093624,6.186096881
CMP568,7.785385817,6.157399599
CMP569,7.190479023,5.641115353
CMP570,6.365402392,4.961007491
CMP571,7.60221699,7.262564932
CMP572,8.640800126,10.67407286
CMP573,9.187089169,9.512494441
CMP574,9.083178268,9.618759926
CMP575,8.904729877,8.928057503
CMP576,7.267343083,8.149943054
CMP577,7.949881613,6.362757237
CMP578,9.099766572,8.600780647
CMP579,8.523295121,9.677279373
CMP580,6.453538774,7.370074413
CMP581,8.822002413,7.083560969
CMP582,7.438242228,5.119873512
CMP583,8.921389893,9.424569279
CMP584,8.92750833,9.338361423
CMP585,7.14241624,6.16360348
CMP586,8.946480591,9.55493574
CMP587,7.835734696,6.541826564
CMP588,7.191013396,6.203687783
CMP589,6.652717243,8.570527915
CMP590,9.860133703,9.433950768
CMP591,9.811837189,9.326225866
CMP592,6.837563805,6.394280419
CMP593,9.034165679,9.870504803
CMP594,9.37393263,11.09688756
CMP595,8.540687941,9.594475979
CMP596,7.196715426,6.695068171
CMP597,9.580307054,9.421123782
CMP598,9.604333724,8.728712089
CMP599,6.072305646,4.222067568
CMP600,9.160733297,5.994053784
CMP601,7.059513164,8.302427742
CMP602,8.295871982,9.337006243
CMP603,9.351708229,8.985409547
CMP604,6.557697909,7.795383632
CMP605,6.459097565,6.102632643
CMP606,8.83738059,7.508194705
CMP607,9.324670225,6.307283435
CMP608,7.857446619,6.89191293
CMP609,9.422953633,8.792629583
CMP610,9.477470454,7.66325661
CMP611,7.472121611,9.550320384
CMP612,10.1875498,10.72752242
CMP613,8.78175588,9.024635604
CMP614,6.244323683,5.774145378
CMP615,7.6581967,8.244447414
CMP616,9.610966502,8.557211885
CMP617,6.783229821,8.084363611
CMP618,9.274593337,10.01433032
CMP619,7.626748213,9.839787526
CMP620,9.170753821,10.00291984
CMP621,9.296472334,8.808843519
CMP622,9.221249249,9.225025773
CMP623,8.553607476,8.789000459
CMP624,8.230103595,6.955132769
CMP625,9.63177216,5.945882808
CMP626,9.751556969,7.056027469
CMP627,9.261689429,8.445945164
CMP628,9.605870984,9.161603226
CMP629,9.409219075,10.7322828
CMP630,8.698497616,10.11729153
CMP631,8.056906841,9.537738526
CMP632,9.240208055,10.46391312
CMP633,6.010210725,7.187102885
CMP634,7.877755824,8.712744319
CMP635,6.29011291,6.256891901
CMP636,7.608705654,6.106448708
CMP637,9.895830217,10.11340293
CMP638,6.957725418,4.360933155
CMP639,9.492404707,6.437599938
CMP640,7.12705592,6.54835433
CMP641,6.617420537,8.246013244
CMP642,6.78020484,8.105359119
CMP643,8.683092104,7.49027506
CMP644,9.300329143,10.3471298
CMP645,6.989791845,6.560561346
CMP646,9.178622151,10.52795944
CMP647,9.246994298,9.690399233
CMP648,6.969246481,5.337145882
CMP649,9.369962928,9.060075702
CMP650,7.420553674,5.612484597
CMP651,9.613560744,8.161242987
CMP652,7.400795143,7.802800478
CMP653,5.821158068,7.378820758
CMP654,9.348209113,10.27960348
CMP655,7.862899371,5.733979938
CMP656,6.509275058,8.859389836
CMP657,6.318861242,4.463467079
CMP658,8.307399562,9.800267278
CMP659,8.122909347,8.084465811
CMP660,9.056283982,10.10160115
CMP661,6.759662552,7.163871341
CMP662,8.296955753,6.93286997
CMP663,9.066739449,10.43838042
CMP664,7.462706759,4.877434841
CMP665,9.441324537,11.05736508
CMP666,8.272257257,6.925266409
CMP667,8.610178855,10.23631612
CMP668,8.998358222,6.197774324
CMP669,8.794862233,8.2744846
CMP670,8.309656105,9.3225924
CMP671,9.871973899,10.10856871
CMP672,9.151933837,6.591068708
CMP673,8.650713599,8.177880967
CMP674,7.006093368,8.242448315
CMP675,8.804951711,6.738483435
CMP676,6.824012436,7.390540995
CMP677,7.037983859,6.676516023
CMP678,6.985689851,7.207425815
CMP679,6.266421134,7.133768262
CMP680,9.453516452,5.693055502
CMP681,8.008154257,7.311114909
CMP682,8.288608241,10.43285993
CMP683,9.183227348,9.450872374
CMP684,9.531051186,6.977945985
CMP685,8.25820405,8.456198066
CMP686,9.649381566,10.35527506
CMP687,9.276700456,8.63641652
CMP688,8.204551026,8.831734527
CMP689,9.439074064,9.601441349
CMP690,9.429714901,8.665065809
CMP691,9.035029686,9.071142722
CMP692,9.07286461,9.740188001
CMP693,8.816671563,7.05218375
CMP694,7.573918459,6.361742149
CMP695,6.172138398,9.128808504
CMP696,9.14955566,9.180008348
CMP697,8.321961639,7.81147995
CMP698,8.836154387,9.789385425
CMP699,9.803733635,10.16016212
CMP700,8.357379034,10.41080029
CMP701,8.813298416,8.335646503
CMP702,8.157355733,7.122169241
CMP703,7.770186065,8.218914981
CMP704,9.608553969,9.075341921
CMP705,9.011632604,8.964835105
CMP706,8.3320909,7.330081559
CMP707,8.039216054,9.650014648
CMP708,9.233899865,10.22536733
CMP709,8.830644272,9.762979256
CMP710,9.432356319,11.05162505
CMP711,7.616279509,7.871204851
CMP712,6.452148476,5.349562811
CMP713,7.575940605,7.016926946
CMP714,7.424745131,6.673541173
CMP715,7.692069552,10.54797619
CMP716,7.417348271,6.314673483
CMP717,8.981559085,7.6834239
CMP718,9.506428554,10.6197857
CMP719,8.816624752,9.767177186
CMP720,9.12009001,9.578077305
CMP721,7.243494496,5.72475131
CMP722,9.27332238,9.712406135
CMP723,6.019438671,5.754157474
CMP724,6.903908686,5.917515807
CMP725,7.945945072,7.48802953
CMP726,8.246652879,7.432685283
CMP727,8.355211782,10.38080673
CMP728,9.179539316,9.891369995
CMP729,9.198921097,7.77123199
CMP730,9.048016566,8.74551163
CMP731,9.177443297,7.897196943
CMP732,7.308095831,8.624762987
CMP733,7.168856966,7.859806071
CMP734,8.493132985,9.446467144
CMP735,9.740567602,9.861822163
CMP736,6.236498334,3.331633974
CMP737,9.327298787,9.629081074
CMP738,9.785577234,9.624849396
CMP739,6.642040131,6.495611493
CMP740,9.222107286,9.483063951
CMP741,6.921993704,5.153350034
CMP742,6.242855314,5.779727531
CMP743,9.578417835,10.07035397
CMP744,9.184371442,9.541095756
CMP745,8.591742675,9.115958651
CMP746,7.807095763,5.583998359
CMP747,9.160112971,9.162617775
CMP748,7.278860653,7.935763926
CMP749,8.67293874,9.314578157
CMP750,9.022693418,10.27005418
CMP751,8.73538875,10.35818971
CMP752,8.34220084,10.94327184
CMP753,8.147963256,8.34383586
CMP754,7.93196796,10.79519235
CMP755,8.331653216,10.64850112
CMP756,9.099168118,9.228789812
CMP757,7.941185584,7.10586601
CMP758,9.493503874,10.03913149
CMP759,9.488940377,9.869460135
CMP760,9.483616062,9.317181647
CMP761,9.426609911,10.72521903
CMP762,8.461225143,9.16364667
CMP763,6.995191149,8.12216699
CMP764,9.018779558,9.058226838
CMP765,8.808344601,6.497696179
CMP766,9.150617871,8.120969321
CMP767,7.773110537,8.993153252
CMP768,6.038721102,5.868815476
CMP769,9.426952875,9.21648772
CMP770,7.731535464,5.935318113
CMP771,6.745213856,6.875638676
CMP772,9.849666827,10.38314115
CMP773,6.069209258,5.666975413
CMP774,7.749412551,8.420379257
CMP775,9.175000582,7.906839951
CMP776,7.958804072,10.97121239
